"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"Idaho Parents Involved in Educatio","","Idaho","","Antigovernment Movement","","Yes","2022"
"Identity Dixie","","North Carolina","","Neo-Confederate","","Yes","2022"
"III% Security Force","","Georgia","","Antigovernment Movement","Yes","Yes","2022"
"III% United Patriots","Region 1","North Carolina","","Antigovernment Movement","","","2022"
"III% United Patriots","Region 2","North Carolina","","Antigovernment Movement","","","2022"
"III% United Patriots","Region 3","North Carolina","","Antigovernment Movement","","","2022"
"III% United Patriots","Johnstown","Colorado","","Antigovernment Movement","Yes","","2022"
"III% United Patriots","","North Carolina","","Antigovernment Movement","","Yes","2022"
"III% United Patriots","","Oklahoma","","Antigovernment Movement","","Yes","2022"
"Illinois Family Institute","Tinley Park","Illinois","","Anti-LGBTQ","Yes","","2022"
"Illinois Parents Involved in Education","","Illinois","","Antigovernment Movement","","Yes","2022"
"Illinois Sons of Liberty","","Illinois","","Antigovernment Movement","Yes","Yes","2022"
"Immigration Reform Law Institute","Washington","District of Columbia","","Anti-Immigrant","Yes","","2022"
"In the Spirit of Chartres Committee","Glenelg","Maryland","","Radical Traditional Catholicism ","Yes","","2022"
"Independent History & Research","Coeur D'Alene","Idaho","","Antisemitism","Yes","","2022"
"Indiana Active Club","","Indiana","","White Nationalist ","Yes","Yes","2022"
"Indiana Parents Involved in Education","","Indiana","","Antigovernment Movement","","Yes","2022"
"InfoWars LLC","Austin","Texas","","Antigovernment Movement","Yes","","2022"
"Insight USA","Altamonte Springs","Florida","","General Hate ","Yes","","2022"
"Institute for Historical Review","Newport Beach","California","Institute for Historical Review","Antisemitism","Yes","","2022"
"Institute on the Constitution","Lewes","Delaware","","Antigovernment Movement","","","2022"
"Institute on the Constitution","Cookeville","Tennessee","","Antigovernment Movement","","","2022"
"Institute on the Constitution","Caroline County","Maryland","","Antigovernment Movement","Yes","","2022"
"Institute on the Constitution","","Nebraska","","Antigovernment Movement","","Yes","2022"
"Institute on the Constitution","","New Hampshire","","Antigovernment Movement","","Yes","2022"
"Institute on the Constitution","","Ohio","","Antigovernment Movement","","Yes","2022"
"Iowa Parents Involved in Education","","Iowa","","Antigovernment Movement","","Yes","2022"
"Iron City CRU (Citizens Response Unit)","Pittsburgh","Pennsylvania","","Antigovernment Movement","Yes","","2022"
"ISD Records/NS88 Video","Denison","Texas","","Hate Music ","Yes","","2022"
"Israel United In Christ","Mount Vernon","New York","","General Hate ","Yes","","2022"
"Israelite School of Universal Practical Knowledge","New York","New York","","General Hate ","Yes","","2022"
"Israelites Saints of Christ","Richmond","Virginia","","General Hate ","Yes","","2022"
"Jeremiah Films","Los Angeles","California","","Antigovernment Movement","Yes","","2022"
"Jewish Task Force","Fresh Meadows","New York","","General Hate ","","","2022"
"Jihad Watch","Manchester","New Hampshire","","Anti-Muslim","Yes","","2022"
"John Birch Society","Mobile","Alabama","","Antigovernment Movement","","","2022"
"John Birch Society","Tucson","Arizona","","Antigovernment Movement","","","2022"
"John Birch Society","Barnesville","Georgia","","Antigovernment Movement","","","2022"
"John Birch Society","Rexburg","Idaho","","Antigovernment Movement","","","2022"
"John Birch Society","Lincoln County","Montana","","Antigovernment Movement","","","2022"
"John Birch Society","Albany","New York","","Antigovernment Movement","","","2022"
"John Birch Society","Saratoga Springs","New York","","Antigovernment Movement","","","2022"
"John Birch Society","Lancaster","Pennsylvania","","Antigovernment Movement","","","2022"
"John Birch Society","Appleton","Wisconsin","","Antigovernment Movement","Yes","","2022"
"John Birch Society","","Iowa","","Antigovernment Movement","","Yes","2022"
"John Birch Society","","Missouri","","Antigovernment Movement","","Yes","2022"
"John Birch Society","","New Jersey","","Antigovernment Movement","","Yes","2022"
"John Birch Society","","South Carolina","","Antigovernment Movement","","Yes","2022"
"John Birch Society","","Tennessee","","Antigovernment Movement","","Yes","2022"
"Kansas Parents Involved in Education","","Kansas","","Antigovernment Movement","","Yes","2022"
"Kentucky Parents Involved in Education","","Kentucky","","Antigovernment Movement","","Yes","2022"
"Keystone United","","Pennsylvania","Keystone United","Racist Skinhead ","","Yes","2022"
"Kingdom Identity Ministries","Harrison","Arkansas","Kingdom Identity Ministries ","Christian Identity ","Yes","","2022"
"Koschertified?","San Marcos","California","","White Nationalist ","Yes","","2022"
"KrisAnne Hall","Wellborn","Florida","","Antigovernment Movement","","","2022"
"Last Chance Patriots","Dayton","Montana","","Anti-Muslim","Yes","","2022"
"League of the South","","Arkansas","League of the South","Neo-Confederate","","Yes","2022"
"League of the South","","Florida","League of the South","Neo-Confederate","","Yes","2022"
"League of the South","","Georgia","League of the South","Neo-Confederate","","Yes","2022"
"League of the South","","Louisiana","League of the South","Neo-Confederate","","Yes","2022"
"League of the South","","Maryland","League of the South","Neo-Confederate","","Yes","2022"
"League of the South","","North Carolina","League of the South","Neo-Confederate","","Yes","2022"
"League of the South","","Texas","League of the South","Neo-Confederate","","Yes","2022"
"League of the South","","Virginia","League of the South","Neo-Confederate","","Yes","2022"
"League of the South","","Alabama","League of the South","Neo-Confederate","Yes","Yes","2022"
"LewRockwell.com","Auburn","Alabama","","Antigovernment Movement","","","2022"
"Liberty Baptist Church","Rock Falls","Illinois","","Anti-LGBTQ","Yes","","2022"
"Liberty Counsel","Orlando","Florida","Liberty Counsel","Anti-LGBTQ","Yes","","2022"
"Liberty First University","Wellborn","Florida","","Antigovernment Movement","","","2022"
"Liberty Hangout","Auburndale","Florida","","Antigovernment Movement","Yes","","2022"
"Liberty News Network","American Fork","Utah","","Antigovernment Movement","Yes","","2022"
"Liberty RoundTable","American Fork","Utah","","Antigovernment Movement","","","2022"
"Life Force Network","","Arizona","","Antigovernment Movement","Yes","Yes","2022"
"Light Foot Militia, 63rd Battalion","","Washington","","Antigovernment Movement","","Yes","2022"
"Lion of Judah - Jeshurun Lions","Chicago","Illinois","","General Hate ","Yes","","2022"
"Live Up to Freedom","Akron","Ohio","","Anti-Muslim","Yes","","2022"
"Long Island Loud Majority","Lindenhurst","New York","","Antigovernment Movement","Yes","","2022"
"Long Island Mutual Assistance Group","Nassau County","New York","","Antigovernment Movement","Yes","","2022"
"Louisiana Parents Involved in Education","","Louisiana","","Antigovernment Movement","","Yes","2022"
"Loving Liberty Network","Ogden","Utah","","Antigovernment Movement","Yes","","2022"
"Loyal White Knights of the Ku Klux Klan","Pelham","North Carolina","","Ku Klux Klan ","","","2022"
"Loyal White Knights of the Ku Klux Klan","","Virginia","","Ku Klux Klan ","","Yes","2022"
"Luxor Couture","Atlanta","Georgia","","General Hate ","Yes","","2022"
"Madison's Militia","New Lebanon","New York","","Antigovernment Movement","Yes","","2022"
"Maine Parents Involved in Education","","Maine","","Antigovernment Movement","","Yes","2022"
"Mamalitia","San Bernardino","California","","Antigovernment Movement","","","2022"
"Mamalitia","Stockton","California","","Antigovernment Movement","Yes","","2022"
"March of Exodus","Elkton","Maryland","","Antigovernment Movement","Yes","","2022"
"Maryland Parents Involved in Education","","Maryland","","Antigovernment Movement","","Yes","2022"
"Masharah Yasharahla - Government of Israel","Raleigh","North Carolina","","General Hate ","Yes","","2022"
"Mass Resistance","Torrance","California","","Anti-LGBTQ","","","2022"
"Mass Resistance","Coeur D'Alene","Idaho","","Anti-LGBTQ","","","2022"
"Mass Resistance","Gillette","Wyoming","","Anti-LGBTQ","","","2022"
"Mass Resistance","Waltham","Massachusetts","","Anti-LGBTQ","Yes","","2022"
"Mass Resistance","","Colorado","","Anti-LGBTQ","","Yes","2022"
"Mass Resistance","","Texas","","Anti-LGBTQ","","Yes","2022"
"Mass Resistance","","West Virginia","","Anti-LGBTQ","","Yes","2022"
"Massachusetts Parents Involved in Education","","Massachusetts","","Antigovernment Movement","","Yes","2022"
"Maulitia Motorcycle Club","Dauphin","Pennsylvania","","Antigovernment Movement","Yes","","2022"
"Mayhem Solutions Group","Casa Grande","Arizona","","Antigovernment Movement","Yes","","2022"
"Medical Kidnap","Huntsville","Alabama","","Antigovernment Movement","Yes","","2022"
"Melrose Patriots","Melrose","Florida","","Antigovernment Movement","Yes","","2022"
"Michigan Home Guard","","Michigan","","Antigovernment Movement","Yes","Yes","2022"
"Michigan Liberty Militia","","Michigan","","Antigovernment Movement","","Yes","2022"
"Michigan Parents Involved in Education","","Michigan","","Antigovernment Movement","","Yes","2022"
"Minnesota Parents Involved in Education","","Minnesota","","Antigovernment Movement","","Yes","2022"
"Mission to Israel Ministries","Scottsbluff","Nebraska","","Christian Identity ","Yes","","2022"
"Mission: America","Columbus","Ohio","","Anti-LGBTQ","Yes","","2022"
"Mississippi Parents Involved in Education","","Mississippi","","Antigovernment Movement","","Yes","2022"
"Missouri Militia","Kansas City","Missouri","","Antigovernment Movement","","","2022"
"Missouri Parents Involved in Education","","Missouri","","Antigovernment Movement","","Yes","2022"
"Moms for America","Englewood","Ohio","","Antigovernment Movement","Yes","","2022"
"Moms for America Illinois","","Illinois","","Antigovernment Movement","","Yes","2022"
"Moms for Liberty - Adams County, PA Chapter","Adams County","Pennsylvania","","Antigovernment Movement","","","2022"
"Moms for Liberty - Alachua County, FL Chapter","Alachua County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - Alexander County, NC Chapter","Alexander County","North Carolina","","Antigovernment Movement","","","2022"
"Moms for Liberty - Allegheny County, PA Chapter","Allegheny County","Pennsylvania","","Antigovernment Movement","","","2022"
"Moms for Liberty - Allen County, IN Chapter","Allen County","Indiana","","Antigovernment Movement","","","2022"
"Moms for Liberty - Anne Arundel County, MD Chapter","Anne Arundel County","Maryland","","Antigovernment Movement","","","2022"
"Moms for Liberty - Baltimore County, MD Chapter","Baltimore County","Maryland","","Antigovernment Movement","","","2022"
"Moms for Liberty - Bay County, FL Chapter","Bay County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - Beaufort County, SC Chapter","Beaufort County","South Carolina","","Antigovernment Movement","","","2022"
"Moms for Liberty - Bedford County, VA Chapter","Bedford County","Virginia","","Antigovernment Movement","","","2022"
"Moms for Liberty - Benton County, AR Chapter","Benton County","Arkansas","","Antigovernment Movement","","","2022"
"Moms for Liberty - Bergen County, NJ Chapter","Bergen County","New Jersey","","Antigovernment Movement","","","2022"
"Moms for Liberty - Berkeley County, SC Chapter","Berkeley County","South Carolina","","Antigovernment Movement","","","2022"
"Moms for Liberty - Berks County, PA Chapter","Berks County","Pennsylvania","","Antigovernment Movement","","","2022"
"Moms for Liberty - Bernalillo County, NM Chapter","Bernalillo County","New Mexico","","Antigovernment Movement","","","2022"
"Moms for Liberty - Bexar County, TX Chapter","Bexar County","Texas","","Antigovernment Movement","","","2022"
"Moms for Liberty - Blair County, PA Chapter","Blair County","Pennsylvania","","Antigovernment Movement","","","2022"
"Moms for Liberty - Branch County, MI Chapter","Branch County","Michigan","","Antigovernment Movement","","","2022"
"Moms for Liberty - Brevard County, FL Chapter","Brevard County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - Broward County, FL Chapter","Broward County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - Bucks County, PA Chapter","Bucks County","Pennsylvania","","Antigovernment Movement","","","2022"
"Moms for Liberty - Burlington County, NJ Chapter","Burlington County","New Jersey","","Antigovernment Movement","","","2022"
"Moms for Liberty - Cabarrus County, NC Chapter","Cabarrus County","North Carolina","","Antigovernment Movement","","","2022"
"Moms for Liberty - Campbell County, VA Chapter","Campbell County","Virginia","","Antigovernment Movement","","","2022"
"Moms for Liberty - Canadian County, OK Chapter","Canadian County","Oklahoma","","Antigovernment Movement","","","2022"
"Moms for Liberty - Cape May County, NJ Chapter","Cape May County","New Jersey","","Antigovernment Movement","","","2022"
"Moms for Liberty - Carroll County, IA Chapter","Carroll County","Iowa","","Antigovernment Movement","","","2022"
"Moms for Liberty - Carroll County, MD Chapter","Carroll County","Maryland","","Antigovernment Movement","","","2022"
"Moms for Liberty - Cass County, IN Chapter","Cass County","Indiana","","Antigovernment Movement","","","2022"
"Moms for Liberty - Cecil County, MD Chapter","Cecil County","Maryland","","Antigovernment Movement","","","2022"
"Moms for Liberty - Charleston County, SC Chapter","Charleston County","South Carolina","","Antigovernment Movement","","","2022"
"Moms for Liberty - Chatham County, NC Chapter","Chatham County","North Carolina","","Antigovernment Movement","","","2022"
"Moms for Liberty - Chester County, PA Chapter","Chester County","Pennsylvania","","Antigovernment Movement","","","2022"
"Moms for Liberty - Clay County, FL Chapter","Clay County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - Clinton County, MI Chapter","Clinton County","Michigan","","Antigovernment Movement","","","2022"
"Moms for Liberty - Colleton County, SC Chapter","Colleton County","South Carolina","","Antigovernment Movement","","","2022"
"Moms for Liberty - Collier County, FL Chapter","Collier County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - Colusa County, CA Chapter","Colusa County","California","","Antigovernment Movement","","","2022"
"Moms for Liberty - Contra Costa County, CA Chapter","Contra Costa County","California","","Antigovernment Movement","","","2022"
"Moms for Liberty - Converse County, WY Chapter","Converse County","Wyoming","","Antigovernment Movement","","","2022"
"Moms for Liberty - Corpus Christi | Nueces, TX Chapter","Corpus Christi | Nueces","Texas","","Antigovernment Movement","","","2022"
"Moms for Liberty - Craighead County, AR Chapter","Craighead County","Arkansas","","Antigovernment Movement","","","2022"
"Moms for Liberty - Cumberland County, PA Chapter","Cumberland County","Pennsylvania","","Antigovernment Movement","","","2022"
"Moms for Liberty - Dakota County, MN Chapter","Dakota County","Minnesota","","Antigovernment Movement","","","2022"
"Moms for Liberty - Dauphin County, PA Chapter","Dauphin County","Pennsylvania","","Antigovernment Movement","","","2022"
"Moms for Liberty - Davidson County, TN Chapter","Davidson County","Tennessee","","Antigovernment Movement","","","2022"
"Moms for Liberty - Delaware County, OH Chapter","Delaware County","Ohio","","Antigovernment Movement","","","2022"
"Moms for Liberty - Delaware County, PA Chapter","Delaware County","Pennsylvania","","Antigovernment Movement","","","2022"
"Moms for Liberty - Denton County, TX Chapter","Denton County","Texas","","Antigovernment Movement","","","2022"
"Moms for Liberty - Deschutes County, OR Chapter","Deschutes County","Oregon","","Antigovernment Movement","","","2022"
"Moms for Liberty - Dorchester County, SC Chapter","Dorchester County","South Carolina","","Antigovernment Movement","","","2022"
"Moms for Liberty - Douglas County, NE Chapter","Douglas County","Nebraska","","Antigovernment Movement","","","2022"
"Moms for Liberty - Douglas County, OR Chapter","Douglas County","Oregon","","Antigovernment Movement","","","2022"
"Moms for Liberty - Douglas-Chelan County Chapter","Douglas-Chelan County","Washington","","Antigovernment Movement","","","2022"
"Moms for Liberty - DuPage County, IL","DuPage County","Illinois","","Antigovernment Movement","","","2022"
"Moms for Liberty - Dutchess County, NY Chapter","Dutchess County","New York","","Antigovernment Movement","","","2022"
"Moms for LIberty - Duval County, FL Chapter","Duval County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - East Baton Rouge Parish, LA","East Baton Rouge Parish","Louisiana","","Antigovernment Movement","","","2022"
"Moms for Liberty - El Paso County, CO Chapter","El Paso County","Colorado","","Antigovernment Movement","","","2022"
"Moms for Liberty - Erie County, NY Chapter","Erie County","New York","","Antigovernment Movement","","","2022"
"Moms for Liberty - Erie County, PA Chapter","Erie County","Pennsylvania","","Antigovernment Movement","","","2022"
"Moms for Liberty - Fairfax County, VA Chapter","Fairfax County","Virginia","","Antigovernment Movement","","","2022"
"Moms for Liberty - Fairfield County, CT Chapter","Fairfield County","Connecticut","","Antigovernment Movement","","","2022"
"Moms for Liberty - Fauquier County, VA Chapter","Fauquier County","Virginia","","Antigovernment Movement","","","2022"
"Moms for Liberty - Flagler County, FL Chapter","Flagler County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - Florence County, SC Chapter","Florence County","South Carolina","","Antigovernment Movement","","","2022"
"Moms for Liberty - Forsyth County, NC Chapter","Forsyth County","North Carolina","","Antigovernment Movement","","","2022"
"Moms for Liberty - Fort Bend County, TX Chapter","Fort Bend County","Texas","","Antigovernment Movement","","","2022"
"Moms for Liberty - Franklin County, OH Chapter","Franklin County","Ohio","","Antigovernment Movement","","","2022"
"Moms for Liberty - Franklin County, PA Chapter","Franklin County","Pennsylvania","","Antigovernment Movement","","","2022"
"Moms for Liberty - Frederick County, MD Chapter","Frederick County","Maryland","","Antigovernment Movement","","","2022"
"Moms for Liberty - Georgetown County, SC Chapter","Georgetown County","South Carolina","","Antigovernment Movement","","","2022"
"Moms for Liberty - Gillespie County, TX Chapter","Gillespie County","Texas","","Antigovernment Movement","","","2022"
"Moms for Liberty - Grand Traverse County, MI Chapter","Grand Traverse County","Michigan","","Antigovernment Movement","","","2022"
"Moms for Liberty - Gwinnett County, GA Chapter","Gwinnett County","Georgia","","Antigovernment Movement","","","2022"
"Moms for Liberty - Hall County, GA Chapter","Hall County","Georgia","","Antigovernment Movement","","","2022"
"Moms for Liberty - Hamilton County, IN Chapter","Hamilton County","Indiana","","Antigovernment Movement","","","2022"
"Moms for Liberty - Hamilton County, OH Chapter","Hamilton County","Ohio","","Antigovernment Movement","","","2022"
"Moms for Liberty - Hamilton County, TN","Hamilton County","Tennessee","","Antigovernment Movement","","","2022"
"Moms for Liberty - Harford County, MD Chapter","Harford County","Maryland","","Antigovernment Movement","","","2022"
"Moms for Liberty - Harris County, TX Chapter","Harris County","Texas","","Antigovernment Movement","","","2022"
"Moms for Liberty - Hartford County, MD County","Hartford County","Maryland","","Antigovernment Movement","","","2022"
"Moms for Liberty - Hernando County, FL Chapter","Hernando County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - Highlands County, FL Chapter","Highlands County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - Hillsborough County, FL Chapter","Hillsborough County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - Hillsborough County, NH","Hillsborough County","New Hampshire","","Antigovernment Movement","","","2022"
"Moms for Liberty - Honolulu, HI Chapter","Honolulu County","Hawaii","","Antigovernment Movement","","","2022"
"Moms for Liberty - Howard County, IN Chapter","Howard County","Indiana","","Antigovernment Movement","","","2022"
"Moms for Liberty - Hughes County, SD Chapter","Hughes County","South Dakota","","Antigovernment Movement","","","2022"
"Moms for Liberty - Indian River County, FL Chapter","Indian River County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - Iredell County, NC Chapter","Iredell County","North Carolina","","Antigovernment Movement","","","2022"
"Moms for Liberty - Isabella County, MI Chapter","Isabella County","Michigan","","Antigovernment Movement","","","2022"
"Moms for Liberty - Jefferson County, CO Chapter","Jefferson County","Colorado","","Antigovernment Movement","","","2022"
"Moms for Liberty - Johnson County, KS Chapter","Johnson County","Kansas","","Antigovernment Movement","","","2022"
"Moms for Liberty - Kenosha County, WI Chapter","Kenosha County","Wisconsin","","Antigovernment Movement","","","2022"
"Moms for Liberty - Kent County, MD Chapter","Kent County","Maryland","","Antigovernment Movement","","","2022"
"Moms for Liberty - Kent County, MI Chapter","Kent County","Michigan","","Antigovernment Movement","","","2022"
"Moms for Liberty - Kershaw County, SC Chapter","Kershaw County","South Carolina","","Antigovernment Movement","","","2022"
"Moms for Liberty - Kitsap County, WA Chapter","Kitsap County","Washington","","Antigovernment Movement","","","2022"
"Moms for Liberty - Knox County, TN Chapter","Knox County","Tennessee","","Antigovernment Movement","","","2022"
"Moms for Liberty - La Porte County, IN Chapter","La Porte County","Indiana","","Antigovernment Movement","","","2022"
"Moms for Liberty - Lackawanna County, PA Chapter","Lackawanna County","Pennsylvania","","Antigovernment Movement","","","2022"
"Moms for Liberty - Lake County, CA Chapter","Lake County","California","","Antigovernment Movement","","","2022"
"Moms for Liberty - Lake County, IL","Lake County","Illinois","","Antigovernment Movement","","","2022"
"Moms for Liberty - Lancaster County, PA Chapter","Lancaster County","Pennsylvania","","Antigovernment Movement","","","2022"
"Moms for Liberty - Lancaster County, SC Chapter","Lancaster County","South Carolina","","Antigovernment Movement","","","2022"
"Moms for Liberty - Laramie County, WY Chapter","Laramie County","Wyoming","","Antigovernment Movement","","","2022"
"Moms for Liberty - Larimer County, CO Chapter","Larimer County","Colorado","","Antigovernment Movement","","","2022"
"Moms for Liberty - Laurens County, SC Chapter","Laurens County","South Carolina","","Antigovernment Movement","","","2022"
"Moms for Liberty - Lebanon County, PA Chapter","Lebanon County","Pennsylvania","","Antigovernment Movement","","","2022"
"Moms for Liberty - Lehigh County, PA Chapter","Lehigh County","Pennsylvania","","Antigovernment Movement","","","2022"
"Moms for Liberty - Leon County, FL Chapter","Leon County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - Lexington County, SC Chapter","Lexington County","South Carolina","","Antigovernment Movement","","","2022"
"Moms for Liberty - Linn County, IA Chapter","Linn County","Iowa","","Antigovernment Movement","","","2022"
"Moms for Liberty - Livingston County, MI Chapter","Livingston County","Michigan","","Antigovernment Movement","","","2022"
"Moms for Liberty - Lonoke County, AR","Lonoke County","Arkansas","","Antigovernment Movement","","","2022"
"Moms for Liberty - Loudoun County, VA Chapter","Loudoun County","Virginia","","Antigovernment Movement","","","2022"
"Moms for Liberty - Macomb County, MI Chapter","Macomb County","Michigan","","Antigovernment Movement","","","2022"
"Moms for Liberty - Madison County, AL Chapter","Madison County","Alabama","","Antigovernment Movement","","","2022"
"Moms for Liberty - Madison County, MS Chapter","Madison County","Mississippi","","Antigovernment Movement","","","2022"
"Moms for Liberty - Madison County, OH Chapter","Madison County","Ohio","","Antigovernment Movement","","","2022"
"Moms for Liberty - Marion County, FL Chapter","Marion County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - Marlboro County, SC Chapter","Marlboro County","South Carolina","","Antigovernment Movement","","","2022"
"Moms for Liberty - Martin County, FL Chapter","Martin County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - McKean County, PA Chapter","McKean County","Pennsylvania","","Antigovernment Movement","","","2022"
"Moms for Liberty - Mecklenburg, NC County Chapter","Mecklenburg","North Carolina","","Antigovernment Movement","","","2022"
"Moms for Liberty - Medina County, OH Chapter","Medina County","Ohio","","Antigovernment Movement","","","2022"
"Moms for Liberty - Mercer County, NJ Chapter","Mercer County","New Jersey","","Antigovernment Movement","","","2022"
"Moms for Liberty - Miami-Dade County, FL","Miami-Dade County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - Middlesex County, MA Chapter","Middlesex County","Massachusetts","","Antigovernment Movement","","","2022"
"Moms for Liberty - Midland County, MI Chapter","Midland County","Michigan","","Antigovernment Movement","","","2022"
"Moms for Liberty - Minnehaha County, SD Chapter","Minnehaha County","South Dakota","","Antigovernment Movement","","","2022"
"Moms for Liberty - Monmouth County, NJ Chapter","Monmouth County","New Jersey","","Antigovernment Movement","","","2022"
"Moms for Liberty - Monroe County, FL Chapter","Monroe County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - Monroe County, MI Chapter","Monroe County","Michigan","","Antigovernment Movement","","","2022"
"Moms for Liberty - Monroe County, NY Chapter","Monroe County","New York","","Antigovernment Movement","","","2022"
"Moms for Liberty - Monroe County, PA Chapter","Monroe County","Pennsylvania","","Antigovernment Movement","","","2022"
"Moms for Liberty - Montgomery County, PA Chapter","Montgomery County","Pennsylvania","","Antigovernment Movement","","","2022"
"Moms for Liberty - Montgomery County, VA Chapter","Montgomery County","Virginia","","Antigovernment Movement","","","2022"
"Moms for Liberty - Morris County, NJ Chapter","Morris County","New Jersey","","Antigovernment Movement","","","2022"
"Moms for Liberty - Natrona County, WY Chapter","Natrona County","Wyoming","","Antigovernment Movement","","","2022"
"Moms for Liberty - New Castle County, DE Chapter","New Castle County","Delaware","","Antigovernment Movement","","","2022"
"Moms for Liberty - New Hanover County, NC Chapter","New Hanover County","North Carolina","","Antigovernment Movement","","","2022"
"Moms for Liberty - Northampton County, PA Chapter","Northampton County","Pennsylvania","","Antigovernment Movement","","","2022"
"Moms for Liberty - Northumberland County, PA Chapter","Northumberland County","Pennsylvania","","Antigovernment Movement","","","2022"
"Moms for Liberty - Oakland County, MI Chapter","Oakland County","Michigan","","Antigovernment Movement","","","2022"
"Moms for Liberty - Ocean County, NJ Chapter","Ocean County","New Jersey","","Antigovernment Movement","","","2022"
"Moms for Liberty - Oconee County, GA Chapter","Oconee County","Georgia","","Antigovernment Movement","","","2022"
"Moms for Liberty - Oktibbeha County, MS Chapter","Oktibbeha County","Mississippi","","Antigovernment Movement","","","2022"
"Moms for Liberty - Olmsted County, MN Chapter","Olmsted County","Minnesota","","Antigovernment Movement","","","2022"
"Moms for Liberty - Oneida County, NY Chapter","Oneida County","New York","","Antigovernment Movement","","","2022"
"Moms for Liberty - Orange County, CA Chapter","Orange County","California","","Antigovernment Movement","","","2022"
"Moms for Liberty - Orange County, FL Chapter","Orange County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - Orange County, NC Chapter","Orange County","North Carolina","","Antigovernment Movement","","","2022"
"Moms for Liberty - Orange County, NY Chapter","Orange County","New York","","Antigovernment Movement","","","2022"
"Moms for Liberty - Osceola County, FL Chapter","Osceola County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - Otter Tail County, MN Chapter","Otter Tail County","Minnesota","","Antigovernment Movement","","","2022"
"Moms for Liberty - Ozaukee County, WI Chapter","Ozaukee County","Wisconsin","","Antigovernment Movement","","","2022"
"Moms for Liberty - Palm Beach County, FL Chapter","Palm Beach County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - Parker County, TX Chapter","Parker County","Texas","","Antigovernment Movement","","","2022"
"Moms for Liberty - Pasco County, Fl County Chapter","Pasco County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - Pickens County, SC Chapter","Pickens County","South Carolina","","Antigovernment Movement","","","2022"
"Moms for Liberty - Pierce County, WA Chapter","Pierce County","Washington","","Antigovernment Movement","","","2022"
"Moms for Liberty - Pima County, AZ Chapter","Pima County","Arizona","","Antigovernment Movement","","","2022"
"Moms for Liberty - Pinellas County, FL Chapter","Pinellas County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - Placer County, CA Chapter","Placer County","California","","Antigovernment Movement","","","2022"
"Moms for Liberty - Polk County, IA Chapter","Polk County","Iowa","","Antigovernment Movement","","","2022"
"Moms for Liberty - Polk County, WI Chapter","Polk County","Wisconsin","","Antigovernment Movement","","","2022"
"Moms for Liberty - Prince William County, VA Chapter","Prince William County","Virginia","","Antigovernment Movement","","","2022"
"Moms for Liberty - Pulaski County, AR Chapter","Pulaski County","Arkansas","","Antigovernment Movement","","","2022"
"Moms for Liberty - Putnam County, FL Chapter","Putnam County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - Putnam County, NY Chapter","Putnam County","New York","","Antigovernment Movement","","","2022"
"Moms for Liberty - Racine County, WI Chapter","Racine County","Wisconsin","","Antigovernment Movement","","","2022"
"Moms for Liberty - Richland County, SC Chapter","Richland County","South Carolina","","Antigovernment Movement","","","2022"
"Moms for Liberty - Riverside County, CA Chapter","Riverside County","California","","Antigovernment Movement","","","2022"
"Moms for Liberty - Roanoke County, VA Chapter","Roanoke County","Virginia","","Antigovernment Movement","","","2022"
"Moms for Liberty - Rock County, WI Chapter","Rock County","Wisconsin","","Antigovernment Movement","","","2022"
"Moms for Liberty - Rockingham County, NH Chapter","Rockingham County","New Hampshire","","Antigovernment Movement","","","2022"
"Moms for Liberty - San Bernardino County, CA Chapter","San Bernardino County","California","","Antigovernment Movement","","","2022"
"Moms for Liberty - San Luis Obispo County, CA Chapter","San Luis Obispo County","California","","Antigovernment Movement","","","2022"
"Moms for Liberty - Santa Clara County, CA Chapter","Santa Clara County","California","","Antigovernment Movement","","","2022"
"Moms for Liberty - Sarasota County, FL","Sarasota County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - Schenectady County, NY Chapter","Schenectady County","New York","","Antigovernment Movement","","","2022"
